date,deaths
2/1/20,
2/2/20,
2/3/20,
2/4/20,
2/5/20,
2/6/20,
2/7/20,
2/8/20,
2/9/20,
2/10/20,
2/11/20,
2/12/20,
2/13/20,
2/14/20,0.1
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.1
3/8/20,0.1
3/9/20,0.1
3/10/20,0.2
3/11/20,0.4
3/12/20,0.6
3/13/20,0.9
3/14/20,1.1
3/15/20,1.4
3/16/20,1.9
3/17/20,2.6
3/18/20,3.4
3/19/20,4.4
3/20/20,5.4
3/21/20,6.3
3/22/20,8.1
3/23/20,10.8
3/24/20,12.4
3/25/20,13.7
3/26/20,16.4
3/27/20,18.7
3/28/20,21.0
3/29/20,23.0
3/30/20,25.3
3/31/20,26.6
4/1/20,28.4
4/2/20,29.6
4/3/20,30.4
4/4/20,31.7
4/5/20,31.5
4/6/20,30.4
4/7/20,30.2
4/8/20,30.7
4/9/20,29.5
4/10/20,28.6
4/11/20,28.1
4/12/20,27.6
4/13/20,26.9
4/14/20,25.9
4/15/20,25.0
4/16/20,23.4
4/17/20,22.4
4/18/20,21.7
4/19/20,20.9
4/20/20,20.9
4/21/20,20.5
4/22/20,19.4
4/23/20,19.9
4/24/20,18.9
4/25/20,17.8
4/26/20,16.5
4/27/20,15.8
4/28/20,15.4
4/29/20,14.4
4/30/20,15.0
5/1/20,14.4
5/2/20,13.9
5/3/20,14.1
5/4/20,13.3
5/5/20,13.3
5/6/20,13.9
5/7/20,12.4
5/8/20,12.6
5/9/20,13.1
5/10/20,13.1
5/11/20,13.0
5/12/20,12.9
5/13/20,13.4
5/14/20,13.4
5/15/20,14.4
5/16/20,14.1
5/17/20,13.7
5/18/20,13.4
5/19/20,13.8
5/20/20,12.9
5/21/20,13.1
5/22/20,13.8
5/23/20,13.6
5/24/20,13.6
5/25/20,13.6
5/26/20,14.1
5/27/20,14.1
5/28/20,13.9
5/29/20,13.9
5/30/20,13.9
5/31/20,13.9
6/1/20,14.9
6/2/20,14.3
6/3/20,14.8
6/4/20,15.3
6/5/20,15.0
6/6/20,15.5
6/7/20,16.6
6/8/20,17.1
6/9/20,17.8
6/10/20,18.5
6/11/20,19.6
6/12/20,19.4
6/13/20,20.7
6/14/20,23.6
6/15/20,24.6
6/16/20,25.8
6/17/20,26.7
6/18/20,26.6
6/19/20,27.6
6/20/20,28.4
6/21/20,29.1
6/22/20,29.6
6/23/20,30.6
6/24/20,30.9
6/25/20,31.0
6/26/20,32.5
6/27/20,33.4
6/28/20,32.4
6/29/20,33.1
6/30/20,34.7
7/1/20,36.5
7/2/20,38.3
7/3/20,38.7
7/4/20,39.8
7/5/20,41.1
7/6/20,41.6
7/7/20,42.2
7/8/20,43.9
7/9/20,45.0
7/10/20,46.1
7/11/20,45.9
7/12/20,46.4
7/13/20,47.7
7/14/20,49.0
7/15/20,49.8
7/16/20,50.4
7/17/20,51.6
7/18/20,52.8
7/19/20,53.3
7/20/20,54.8
7/21/20,55.7
7/22/20,57.6
7/23/20,59.6
7/24/20,59.8
7/25/20,60.9
7/26/20,61.6
7/27/20,62.9
7/28/20,62.9
7/29/20,63.5
7/30/20,64.4
7/31/20,63.5
8/1/20,63.1
8/2/20,63.4
8/3/20,62.6
8/4/20,63.1
8/5/20,61.7
8/6/20,61.9
8/7/20,63.3
8/8/20,64.1
8/9/20,64.6
8/10/20,63.9
8/11/20,65.6
8/12/20,66.3
8/13/20,68.1
8/14/20,70.4
8/15/20,72.1
8/16/20,73.0
8/17/20,74.6
8/18/20,74.2
8/19/20,74.6
8/20/20,73.5
8/21/20,72.6
8/22/20,73.3
8/23/20,73.6
8/24/20,74.0
8/25/20,72.4
8/26/20,72.5
8/27/20,72.0
