Municipality,Province,Region, Covid-19 cases ," Case per 10,000 population "
Danglas,Abra,Cordillera Administrative Region, 132 , 324 
Dolores,Abra,Cordillera Administrative Region, 419 , 364 
Luba,Abra,Cordillera Administrative Region, 240 , 368 
La Paz,Abra,Cordillera Administrative Region, 311 , 189 
Bangued ,Abra,Cordillera Administrative Region," 1,229 ", 244 
Bucloc,Abra,Cordillera Administrative Region, 120 , 501 
San Juan,Abra,Cordillera Administrative Region, 272 , 255 
Peñarrubia,Abra,Cordillera Administrative Region, 148 , 213 
Tubo,Abra,Cordillera Administrative Region, 204 , 360 
Sallapadan,Abra,Cordillera Administrative Region, 398 , 623 
San Isidro,Abra,Cordillera Administrative Region, 136 , 287 
Pilar,Abra,Cordillera Administrative Region, 132 , 130 
Manabo,Abra,Cordillera Administrative Region, 184 , 159 
San Quintin,Abra,Cordillera Administrative Region, 149 , 261 
Licuan-Baay ,Abra,Cordillera Administrative Region, 60 , 131 
Tineg,Abra,Cordillera Administrative Region, 38 , 76 
Malibcong,Abra,Cordillera Administrative Region, 117 , 291 
Pidigan,Abra,Cordillera Administrative Region, 326 , 261 
Daguioman,Abra,Cordillera Administrative Region, 91 , 451 
Bucay,Abra,Cordillera Administrative Region, 350 , 195 
Villaviciosa,Abra,Cordillera Administrative Region, 265 , 467 
Tayum,Abra,Cordillera Administrative Region, 211 , 142 
Boliney,Abra,Cordillera Administrative Region, 199 , 437 
Lagayan,Abra,Cordillera Administrative Region, 272 , 606 
Lagangilang,Abra,Cordillera Administrative Region, 314 , 211 
Langiden,Abra,Cordillera Administrative Region, 33 , 92 
Lacub,Abra,Cordillera Administrative Region, 43 , 119 
Buenavista,Agusan Del Norte,Region XIII," 1,549 ", 225 
Nasipit,Agusan Del Norte,Region XIII," 1,186 ", 265 
Butuan City ,Agusan Del Norte,Region XIII," 16,145 ", 433 
Tubay,Agusan Del Norte,Region XIII, 442 , 171 
City of Cabadbaran,Agusan Del Norte,Region XIII," 1,835 ", 228 
Magallanes,Agusan Del Norte,Region XIII, 301 , 135 
Jabonga,Agusan Del Norte,Region XIII, 170 , 68 
Santiago,Agusan Del Norte,Region XIII, 402 , 140 
Las Nieves,Agusan Del Norte,Region XIII, 470 , 155 
Carmen,Agusan Del Norte,Region XIII, 469 , 202 
Kitcharao,Agusan Del Norte,Region XIII, 345 , 162 
Remedios T. Romualdez,Agusan Del Norte,Region XIII, 363 , 212 
San Luis,Agusan Del Sur,Region XIII, 734 , 209 
Esperanza,Agusan Del Sur,Region XIII," 1,312 ", 221 
Talacogon,Agusan Del Sur,Region XIII, 819 , 206 
Veruela,Agusan Del Sur,Region XIII, 834 , 210 
City of Bayugan,Agusan Del Sur,Region XIII," 2,644 ", 242 
Trento,Agusan Del Sur,Region XIII," 1,073 ", 197 
San Francisco,Agusan Del Sur,Region XIII," 3,248 ", 402 
Prosperidad ,Agusan Del Sur,Region XIII," 2,740 ", 310 
La Paz,Agusan Del Sur,Region XIII, 236 , 76 
Rosario,Agusan Del Sur,Region XIII," 1,401 ", 282 
Sibagat,Agusan Del Sur,Region XIII, 451 , 133 
Santa Josefa,Agusan Del Sur,Region XIII, 820 , 310 
Loreto,Agusan Del Sur,Region XIII, 596 , 136 
Bunawan,Agusan Del Sur,Region XIII," 1,080 ", 227 
Tangalan,Aklan,Region VI, 652 , 275 
Malinao,Aklan,Region VI, 671 , 274 
Madalag,Aklan,Region VI, 359 , 190 
Lezo,Aklan,Region VI, 467 , 299 
Ibajay,Aklan,Region VI," 1,345 ", 257 
Banga,Aklan,Region VI," 1,404 ", 348 
New Washington,Aklan,Region VI," 1,086 ", 227 
Malay,Aklan,Region VI," 2,143 ", 357 
Batan,Aklan,Region VI, 642 , 192 
Libacao,Aklan,Region VI, 257 , 91 
Nabas,Aklan,Region VI, 844 , 208 
Balete,Aklan,Region VI, 375 , 125 
Buruanga,Aklan,Region VI, 220 , 114 
Makato,Aklan,Region VI, 905 , 305 
Kalibo ,Aklan,Region VI," 4,177 ", 469 
Numancia,Aklan,Region VI," 1,409 ", 395 
Altavas,Aklan,Region VI, 428 , 167 
Malilipot,Albay,Region V, 290 , 71 
City of Tabaco,Albay,Region V," 1,097 ", 78 
Libon,Albay,Region V, 335 , 45 
Tiwi,Albay,Region V, 484 , 86 
Bacacay,Albay,Region V, 436 , 60 
Pio Duran,Albay,Region V, 260 , 53 
Oas,Albay,Region V, 322 , 49 
Guinobatan,Albay,Region V," 1,009 ", 118 
Camalig,Albay,Region V, 760 , 106 
Jovellar,Albay,Region V, 41 , 23 
Legazpi City ,Albay,Region V," 4,673 ", 223 
Manito,Albay,Region V, 279 , 107 
Malinao,Albay,Region V, 294 , 62 
Daraga ,Albay,Region V," 2,312 ", 173 
Polangui,Albay,Region V, 599 , 67 
City of Ligao,Albay,Region V," 1,052 ", 89 
Santo Domingo ,Albay,Region V, 459 , 122 
Rapu-Rapu,Albay,Region V, 123 , 34 
Caluya,Antique,Region VI, 167 , 43 
Tibiao,Antique,Region VI, 603 , 210 
Laua-An,Antique,Region VI, 271 , 102 
Belison,Antique,Region VI, 528 , 374 
Sebaste,Antique,Region VI, 96 , 51 
Hamtic,Antique,Region VI," 1,017 ", 193 
Patnongon,Antique,Region VI, 330 , 86 
Sibalom,Antique,Region VI," 1,179 ", 185 
San Remigio,Antique,Region VI, 671 , 197 
San Jose ,Antique,Region VI," 2,751 ", 422 
Barbaza,Antique,Region VI, 199 , 85 
Pandan,Antique,Region VI, 395 , 110 
Culasi,Antique,Region VI, 705 , 158 
Anini-Y,Antique,Region VI, 331 , 150 
Valderrama,Antique,Region VI, 513 , 257 
Bugasong,Antique,Region VI, 757 , 218 
Libertad,Antique,Region VI, 141 , 81 
Tobias Fornier ,Antique,Region VI, 372 , 110 
Luna,Apayao,Cordillera Administrative Region," 2,369 "," 1,112 "
Flora,Apayao,Cordillera Administrative Region," 1,287 ", 717 
Pudtol,Apayao,Cordillera Administrative Region," 1,510 ", 975 
Kabugao ,Apayao,Cordillera Administrative Region, 680 , 419 
Calanasan ,Apayao,Cordillera Administrative Region, 795 , 634 
Santa Marcela,Apayao,Cordillera Administrative Region," 1,670 "," 1,254 "
Conner,Apayao,Cordillera Administrative Region," 1,311 ", 476 
San Luis,Aurora,Region III, 511 , 171 
Dingalan,Aurora,Region III, 479 , 172 
Dipaculao,Aurora,Region III, 516 , 156 
Baler ,Aurora,Region III," 1,189 ", 272 
Maria Aurora,Aurora,Region III, 907 , 202 
Dinalungan,Aurora,Region III, 241 , 193 
Dilasag,Aurora,Region III, 161 , 94 
Casiguran,Aurora,Region III, 476 , 179 
Hadji Muhtamad,Basilan,Autonomous Region in Muslim Mindanao, 6 , 2 
Tipo-Tipo,Basilan,Autonomous Region in Muslim Mindanao, 182 , 71 
Maluso,Basilan,Autonomous Region in Muslim Mindanao, 179 , 39 
Sumisip,Basilan,Autonomous Region in Muslim Mindanao, 107 , 23 
Lantawan,Basilan,Autonomous Region in Muslim Mindanao, 68 , 22 
City of Lamitan ,Basilan,Autonomous Region in Muslim Mindanao," 1,199 ", 120 
Akbar,Basilan,Autonomous Region in Muslim Mindanao, 34 , 15 
Al-Barka,Basilan,Autonomous Region in Muslim Mindanao, 29 , 12 
Tabuan-Lasa,Basilan,Autonomous Region in Muslim Mindanao, 5 , 2 
Ungkaya Pukan,Basilan,Autonomous Region in Muslim Mindanao, 34 , 14 
Tuburan,Basilan,Autonomous Region in Muslim Mindanao, 29 , 12 
Hadji Mohammad Ajul,Basilan,Autonomous Region in Muslim Mindanao, 28 , 11 
Hermosa,Bataan,Region III," 2,265 ", 293 
City of Balanga ,Bataan,Region III," 9,219 ", 885 
Samal,Bataan,Region III," 2,096 ", 547 
Orion,Bataan,Region III," 2,514 ", 414 
Bagac,Bataan,Region III," 1,191 ", 380 
Dinalupihan,Bataan,Region III," 6,050 ", 512 
Morong,Bataan,Region III," 1,709 ", 483 
Abucay,Bataan,Region III," 2,455 ", 571 
Orani,Bataan,Region III," 2,642 ", 376 
Mariveles,Bataan,Region III," 8,905 ", 594 
Limay,Bataan,Region III," 4,137 ", 529 
Pilar,Bataan,Region III," 1,896 ", 410 
Uyugan,Batanes,Region II, 40 , 290 
Ivana,Batanes,Region II, 57 , 405 
Basco ,Batanes,Region II, 245 , 257 
Itbayat,Batanes,Region II, 24 , 77 
Sabtang,Batanes,Region II, 13 , 77 
Mahatao,Batanes,Region II, 28 , 164 
Mabini,Batangas,Region IV-A," 1,430 ", 281 
Agoncillo,Batangas,Region IV-A, 644 , 165 
Batangas City ,Batangas,Region IV-A," 19,516 ", 555 
Mataasnakahoy,Batangas,Region IV-A," 1,499 ", 490 
City of Tanauan,Batangas,Region IV-A," 7,796 ", 402 
Calatagan,Batangas,Region IV-A," 1,201 ", 205 
San Pascual,Batangas,Region IV-A," 3,327 ", 482 
