date,positivity
4/3/20,
4/4/20,
4/5/20,
4/6/20,
4/7/20,
4/8/20,
4/9/20,
4/10/20,
4/11/20,
4/12/20,
4/13/20,
4/14/20,
4/15/20,
4/16/20,12.11
4/17/20,11.29
4/18/20,10.14
4/19/20,10.69
4/20/20,10.39
4/21/20,10.53
4/22/20,11.24
4/23/20,11.03
4/24/20,10.65
4/25/20,10.61
4/26/20,10.11
4/27/20,9.29
4/28/20,9.14
4/29/20,8.24
4/30/20,8.20
5/1/20,7.95
5/2/20,8.05
5/3/20,7.92
5/4/20,8.16
5/5/20,8.07
5/6/20,7.47
5/7/20,7.44
5/8/20,7.38
5/9/20,7.22
5/10/20,7.03
5/11/20,6.96
5/12/20,6.80
5/13/20,6.86
5/14/20,6.55
5/15/20,6.32
5/16/20,5.92
5/17/20,5.69
5/18/20,5.56
5/19/20,5.48
5/20/20,5.25
5/21/20,5.15
5/22/20,5.13
5/23/20,5.12
5/24/20,5.25
5/25/20,5.51
5/26/20,5.61
5/27/20,5.71
5/28/20,5.86
5/29/20,5.96
5/30/20,6.10
5/31/20,6.14
6/1/20,6.08
6/2/20,5.96
6/3/20,6.03
6/4/20,6.06
6/5/20,6.05
6/6/20,5.98
6/7/20,5.98
6/8/20,5.79
6/9/20,5.83
6/10/20,5.85
6/11/20,5.86
6/12/20,5.93
6/13/20,6.07
6/14/20,6.12
6/15/20,6.11
6/16/20,6.27
6/17/20,6.33
6/18/20,6.37
6/19/20,6.34
6/20/20,6.47
6/21/20,6.43
6/22/20,6.53
6/23/20,6.50
6/24/20,6.56
6/25/20,6.60
6/26/20,6.73
6/27/20,6.84
6/28/20,7.14
6/29/20,7.13
6/30/20,7.34
7/1/20,7.47
7/2/20,7.80
7/3/20,8.04
7/4/20,8.25
7/5/20,8.76
7/6/20,8.93
7/7/20,9.15
7/8/20,9.45
7/9/20,9.77
7/10/20,9.87
7/11/20,10.03
7/12/20,10.25
7/13/20,10.73
7/14/20,10.97
7/15/20,11.16
7/16/20,11.22
7/17/20,11.31
7/18/20,11.38
7/19/20,11.30
7/20/20,11.50
7/21/20,11.75
7/22/20,11.81
7/23/20,11.89
7/24/20,11.96
7/25/20,12.02
7/26/20,11.94
7/27/20,11.94
7/28/20,12.05
7/29/20,12.19
7/30/20,12.38
7/31/20,12.67
8/1/20,12.77
8/2/20,12.74
8/3/20,12.67
8/4/20,12.70
8/5/20,12.66
8/6/20,12.60
8/7/20,12.79
8/8/20,12.79
8/9/20,12.88
8/10/20,12.83
8/11/20,12.76
8/12/20,12.79
8/13/20,12.73
8/14/20,12.64
8/15/20,12.66
8/16/20,12.82
8/17/20,12.80
8/18/20,12.68
8/19/20,12.72
8/20/20,12.74
8/21/20,12.61
8/22/20,12.49
8/23/20,12.51
8/24/20,12.49
8/25/20,12.37
8/26/20,12.19
8/27/20,12.07
8/28/20,11.96
8/29/20,11.92
8/30/20,11.72
8/31/20,11.66
9/1/20,11.49
9/2/20,11.39
9/3/20,11.25
9/4/20,11.16
9/5/20,11.13
9/6/20,11.03
9/7/20,10.85
9/8/20,10.62
9/9/20,10.61
9/10/20,10.49
9/11/20,10.39
9/12/20,10.23
9/13/20,10.11
9/14/20,10.00
9/15/20,9.93
9/16/20,9.85
9/17/20,9.82
9/18/20,9.75
9/19/20,9.67
9/20/20,9.44
9/21/20,9.29
9/22/20,9.26
9/23/20,9.08
9/24/20,9.03
9/25/20,8.93
9/26/20,8.81
9/27/20,8.70
9/28/20,8.62
9/29/20,8.59
9/30/20,8.47
10/1/20,8.39
10/2/20,8.30
10/3/20,8.24
10/4/20,8.25
10/5/20,8.30
10/6/20,8.32
10/7/20,8.29
10/8/20,8.18
10/9/20,8.10
10/10/20,8.00
10/11/20,7.89
10/12/20,7.82
10/13/20,7.72
10/14/20,7.64
10/15/20,7.53
10/16/20,7.49
10/17/20,7.45
10/18/20,7.38
10/19/20,7.27
10/20/20,7.16
10/21/20,7.11
10/22/20,7.08
10/23/20,7.04
10/24/20,6.98
10/25/20,7.12
10/26/20,7.09
10/27/20,7.06
10/28/20,7.03
10/29/20,7.04
10/30/20,7.03
10/31/20,6.93
11/1/20,6.87
11/2/20,6.84
11/3/20,6.83
11/4/20,6.83
11/5/20,6.78
11/6/20,6.77
11/7/20,6.77
11/8/20,6.61
11/9/20,6.54
11/10/20,6.51
11/11/20,6.48
11/12/20,6.43
11/13/20,6.31
11/14/20,6.30
11/15/20,6.26
11/16/20,6.20
11/17/20,6.08
11/18/20,5.94
11/19/20,5.85
11/20/20,5.77
11/21/20,5.71
11/22/20,5.62
11/23/20,5.55
11/24/20,5.48
11/25/20,5.41
11/26/20,5.32
11/27/20,5.28
11/28/20,5.24
11/29/20,5.22
11/30/20,5.18
12/1/20,5.15
12/2/20,5.10
12/3/20,5.05
12/4/20,5.01
12/5/20,4.96
12/6/20,4.94
12/7/20,4.92
12/8/20,4.89
12/9/20,4.92
12/10/20,4.94
12/11/20,4.92
12/12/20,4.82
12/13/20,4.76
12/14/20,4.68
12/15/20,4.75
12/16/20,4.81
12/17/20,4.81
12/18/20,4.81
12/19/20,4.88
12/20/20,4.91
12/21/20,4.90
12/22/20,4.93
12/23/20,4.94
12/24/20,4.90
12/25/20,4.94
12/26/20,5.05
12/27/20,5.11
12/28/20,5.19
12/29/20,5.25
12/30/20,5.25
12/31/20,5.37
1/1/21,5.44
1/2/21,5.52
1/3/21,5.60
1/4/21,5.67
1/5/21,5.73
1/6/21,5.71
1/7/21,5.75
1/8/21,5.73
1/9/21,5.75
1/10/21,5.75
1/11/21,5.77
1/12/21,5.72
1/13/21,5.71
1/14/21,5.65
1/15/21,5.65
1/16/21,5.57
1/17/21,5.54
1/18/21,5.60
1/19/21,5.63
1/20/21,5.71
1/21/21,5.73
1/22/21,5.80
1/23/21,5.73
1/24/21,5.76
1/25/21,5.71
1/26/21,5.69
1/27/21,5.68
1/28/21,5.70
1/29/21,5.65
1/30/21,5.64
1/31/21,5.59
2/1/21,5.58
2/2/21,5.54
2/3/21,5.50
2/4/21,5.48
2/5/21,5.45
2/6/21,5.46
2/7/21,5.47
2/8/21,5.49
2/9/21,5.56
2/10/21,5.57
2/11/21,5.55
2/12/21,5.58
2/13/21,5.65
2/14/21,5.75
2/15/21,5.68
2/16/21,5.70
2/17/21,5.72
2/18/21,5.76
2/19/21,5.83
2/20/21,5.90
2/21/21,5.95
2/22/21,6.02
2/23/21,6.09
2/24/21,6.14
2/25/21,6.26
2/26/21,6.40
2/27/21,6.42
2/28/21,6.48
3/1/21,6.65
3/2/21,6.78
3/3/21,7.00
3/4/21,7.18
3/5/21,7.32
3/6/21,7.55
3/7/21,7.73
3/8/21,7.93
3/9/21,8.15
3/10/21,8.50
3/11/21,8.80
3/12/21,9.10
3/13/21,9.51
3/14/21,9.86
3/15/21,10.21
3/16/21,10.64
3/17/21,11.01
3/18/21,11.48
3/19/21,11.99
3/20/21,12.44
3/21/21,12.90
3/22/21,13.37
3/23/21,13.80
