Province,Region, Covid-19 cases ," Case per 100,000 population "
Abra,Cordillera Administrative Region,"6,467","2,576.60"
Agusan del Norte,Region XIII,"23,830","3,133.80"
Agusan del Sur,Region XIII,"18,283","2,472.80"
Aklan,Region VI,"17,463","2,837.30"
Albay,Region V,"15,910","1,157.30"
Antique,Region VI,"11,115","1,813.30"
Apayao,Cordillera Administrative Region,"9,634","7,746.50"
Aurora,Region III,"4,489","1,904.10"
Basilan,Bangsamoro Autonomous Region in Muslim Mindanao,"1,915",449.3
Bataan,Region III,"45,237","5,301.00"
Batanes,Region II,411,"2,182.60"
Batangas,Region IV-A,"103,139","3,546.10"
Benguet,Cordillera Administrative Region,"77,524","9,373.70"
Biliran,Region VIII,"2,511","1,400.40"
Bohol,Region VII,"26,973","1,934.50"
Bukidnon,Region X,"33,894","2,199.00"
Bulacan,Region III,"150,267","4,051.50"
Cagayan,Region II,"67,551","5,324.80"
Camarines Norte,Region V,"5,511",875.2
Camarines Sur,Region V,"31,457","1,521.00"
Camiguin,Region X,"2,777","2,992.20"
Capiz,Region VI,"14,928","1,854.50"
Catanduanes,Region V,"4,054","1,491.10"
Cavite,Region IV-A,"244,164","5,619.60"
Cebu,Region VII,"153,318","3,035.20"
City of Isabela,Region IX,"1,976","1,515.60"
Davao de Oro,Region XI,"10,898","1,419.80"
Cotabato,Region XII,"16,613","1,114.50"
Cotabato City,Region XII,"6,830","2,101.00"
Davao del Norte,Region XI,"27,708","2,462.80"
Davao del Sur,Region XI,"101,797","4,142.40"
Davao Occidental,Region XI,"5,132","1,618.10"
Davao Oriental,Region XI,"10,362","1,797.90"
Dinagat Islands,Region XIII,"1,819","1,419.80"
Eastern Samar,Region VIII,"5,352","1,121.60"
Guimaras,Region VI,"4,498","2,394.60"
Ifugao,Cordillera Administrative Region,"12,347","5,950.40"
Ilocos Norte,Region I,"28,355","4,651.50"
Ilocos Sur,Region I,"24,252","3,435.10"
Iloilo,Region VI,"92,577","3,689.00"
Isabela,Region II,"74,259","4,375.80"
Kalinga,Cordillera Administrative Region,"12,942","5,637.50"
La Union,Region I,"32,968","4,009.00"
Laguna,Region IV-A,"182,723","5,402.50"
Lanao del Norte,Region X,"13,426","1,236.30"
Lanao del Sur,Bangsamoro Autonomous Region in Muslim Mindanao,"8,847",740
Leyte,Region VIII,"38,005","1,873.30"
Maguindanao,Bangsamoro Autonomous Region in Muslim Mindanao,"8,408",626.4
Marinduque,Region IV-B,"5,389","2,252.90"
Masbate,Region V,"6,678",734.7
Misamis Occidental,Region X,"13,081","2,119.00"
Misamis Oriental,Region X,"51,920","3,080.80"
Mountain Province,Cordillera Administrative Region,"11,422","7,220.00"
"NCR, City of Manila, First District",National Capital Region,"166,570","9,020.80"
"NCR, Fourth District",National Capital Region,"448,721","11,619.00"
"NCR, Second District",National Capital Region,"497,360","10,423.80"
"NCR, Third District",National Capital Region,"199,003","6,623.20"
Negros Occidental,Region VI,"78,779","2,443.60"
Negros Oriental,Region VII,"27,115","1,892.20"
Northern Samar,Region VIII,"5,244",820.4
Nueva Ecija,Region III,"46,583","2,016.50"
Nueva Vizcaya,Region II,"24,084","4,841.70"
Occidental Mindoro,Region IV-B,"8,693","1,654.70"
Oriental Mindoro,Region IV-B,"13,724","1,510.90"
Palawan,Region IV-B,"14,709","1,179.90"
Pampanga,Region III,"97,494","3,361.10"
Pangasinan,Region I,"61,693","1,950.30"
Quezon,Region IV-A,"41,933","1,880.90"
Quirino,Region II,"8,917","4,374.80"
Rizal,Region IV-A,"159,804","4,798.70"
Romblon,Region IV-B,"5,763","1,865.10"
Samar,Region VIII,"9,612","1,211.80"
Sarangani,Region XII,"9,042","1,617.70"
Siquijor,Region VII,"3,044","2,944.00"
Sorsogon,Region V,"9,915","1,196.50"
South Cotabato,Region XII,"46,658","2,789.20"
Southern Leyte,Region VIII,"6,878","1,601.10"
Sultan Kudarat,Region XII,"10,661","1,248.30"
Sulu,Bangsamoro Autonomous Region in Muslim Mindanao,"1,738",173.8
Surigao del Norte,Region XIII,"7,775","1,454.30"
Surigao del Sur,Region XIII,"15,610","2,430.50"
Tarlac,Region III,"34,000","2,261.50"
Tawi-Tawi,Bangsamoro Autonomous Region in Muslim Mindanao,786,178.5
Zambales,Region III,"24,063","2,644.80"
Zamboanga del Norte,Region IX,"13,634","1,301.60"
Zamboanga del Sur,Region IX,"49,538","2,442.80"
Zamboanga Sibugay,Region IX,"5,886",878.7
