date,Region,"Case per 100,000"
2020-01-30,Bangsamoro Region,0.0
2022-02-05,Bangsamoro Region,108.0
2022-02-06,Bangsamoro Region,59.0
2022-02-07,Bangsamoro Region,84.0
2022-02-08,Bangsamoro Region,41.0
2022-02-09,Bangsamoro Region,51.0
2022-02-10,Bangsamoro Region,58.0
2022-02-11,Bangsamoro Region,32.0
2022-02-12,Bangsamoro Region,48.0
2022-02-13,Bangsamoro Region,42.0
2022-02-14,Bangsamoro Region,32.0
2022-02-15,Bangsamoro Region,27.0
2022-02-16,Bangsamoro Region,15.0
2022-02-17,Bangsamoro Region,18.0
2022-02-18,Bangsamoro Region,13.0
2022-02-19,Bangsamoro Region,9.0
2022-02-20,Bangsamoro Region,19.0
2022-02-21,Bangsamoro Region,9.0
2022-02-22,Bangsamoro Region,2.0
2022-02-23,Bangsamoro Region,17.0
2022-02-24,Bangsamoro Region,14.0
2022-02-25,Bangsamoro Region,11.0
2022-02-26,Bangsamoro Region,5.0
2022-02-27,Bangsamoro Region,5.0
2022-02-28,Bangsamoro Region,5.0
2022-03-01,Bangsamoro Region,3.0
2022-03-02,Bangsamoro Region,6.0
2022-03-03,Bangsamoro Region,6.0
2022-03-04,Bangsamoro Region,10.0
2022-03-05,Bangsamoro Region,2.0
2022-02-04,Bangsamoro Region,95.0
2022-03-06,Bangsamoro Region,9.0
2022-02-03,Bangsamoro Region,91.0
2022-02-01,Bangsamoro Region,111.0
2022-01-03,Bangsamoro Region,14.0
2022-01-04,Bangsamoro Region,8.0
2022-01-05,Bangsamoro Region,9.0
2022-01-06,Bangsamoro Region,15.0
2022-01-07,Bangsamoro Region,24.0
2022-01-08,Bangsamoro Region,29.0
2022-01-09,Bangsamoro Region,61.0
2022-01-10,Bangsamoro Region,82.0
2022-01-11,Bangsamoro Region,102.0
2022-01-12,Bangsamoro Region,46.0
2022-01-13,Bangsamoro Region,103.0
2022-01-14,Bangsamoro Region,115.0
2022-01-15,Bangsamoro Region,120.0
2022-01-16,Bangsamoro Region,172.0
2022-01-17,Bangsamoro Region,217.0
2022-01-18,Bangsamoro Region,127.0
2022-01-19,Bangsamoro Region,254.0
2022-01-20,Bangsamoro Region,293.0
2022-01-21,Bangsamoro Region,334.0
2022-01-22,Bangsamoro Region,352.0
2022-01-23,Bangsamoro Region,333.0
2022-01-24,Bangsamoro Region,216.0
2022-01-25,Bangsamoro Region,314.0
2022-01-26,Bangsamoro Region,197.0
2022-01-27,Bangsamoro Region,215.0
2022-01-28,Bangsamoro Region,360.0
2022-01-29,Bangsamoro Region,207.0
2022-01-30,Bangsamoro Region,299.0
2022-01-31,Bangsamoro Region,94.0
2022-02-02,Bangsamoro Region,96.0
2022-03-07,Bangsamoro Region,3.0
2022-03-08,Bangsamoro Region,2.0
2022-03-09,Bangsamoro Region,0.0
2022-04-13,Bangsamoro Region,1.0
2022-04-14,Bangsamoro Region,1.0
2022-04-15,Bangsamoro Region,2.0
2022-04-16,Bangsamoro Region,1.0
2022-04-17,Bangsamoro Region,2.0
2022-04-18,Bangsamoro Region,2.0
2022-04-19,Bangsamoro Region,0.0
2022-04-20,Bangsamoro Region,3.0
2022-04-21,Bangsamoro Region,0.0
2022-04-22,Bangsamoro Region,1.0
2022-04-23,Bangsamoro Region,0.0
2022-04-24,Bangsamoro Region,2.0
2022-04-25,Bangsamoro Region,1.0
2022-04-26,Bangsamoro Region,1.0
2022-04-27,Bangsamoro Region,1.0
2022-04-28,Bangsamoro Region,1.0
2022-04-29,Bangsamoro Region,0.0
2022-04-30,Bangsamoro Region,1.0
2022-05-01,Bangsamoro Region,0.0
2022-05-02,Bangsamoro Region,1.0
2022-05-03,Bangsamoro Region,0.0
2022-05-04,Bangsamoro Region,1.0
2022-05-05,Bangsamoro Region,1.0
2022-05-06,Bangsamoro Region,1.0
2022-05-07,Bangsamoro Region,2.0
2022-05-08,Bangsamoro Region,1.0
2022-05-09,Bangsamoro Region,0.0
2022-05-10,Bangsamoro Region,1.0
2022-05-11,Bangsamoro Region,0.0
2022-04-12,Bangsamoro Region,3.0
2022-04-11,Bangsamoro Region,2.0
2022-04-10,Bangsamoro Region,3.0
2022-04-09,Bangsamoro Region,1.0
2022-03-10,Bangsamoro Region,4.0
2022-03-11,Bangsamoro Region,3.0
2022-03-12,Bangsamoro Region,2.0
2022-03-13,Bangsamoro Region,3.0
2022-03-14,Bangsamoro Region,3.0
2022-03-15,Bangsamoro Region,2.0
2022-03-16,Bangsamoro Region,3.0
2022-03-17,Bangsamoro Region,2.0
2022-03-18,Bangsamoro Region,8.0
2022-03-19,Bangsamoro Region,5.0
2022-03-20,Bangsamoro Region,1.0
2022-03-21,Bangsamoro Region,2.0
2022-03-22,Bangsamoro Region,4.0
2022-03-23,Bangsamoro Region,2.0
2022-01-02,Bangsamoro Region,11.0
2022-03-24,Bangsamoro Region,3.0
2022-03-26,Bangsamoro Region,5.0
2022-03-27,Bangsamoro Region,1.0
2022-03-28,Bangsamoro Region,6.0
2022-03-29,Bangsamoro Region,3.0
2022-03-30,Bangsamoro Region,0.0
2022-03-31,Bangsamoro Region,1.0
2022-04-01,Bangsamoro Region,1.0
2022-04-02,Bangsamoro Region,1.0
2022-04-03,Bangsamoro Region,6.0
2022-04-04,Bangsamoro Region,2.0
2022-04-05,Bangsamoro Region,2.0
2022-04-06,Bangsamoro Region,0.0
2022-04-07,Bangsamoro Region,0.0
2022-04-08,Bangsamoro Region,0.0
2022-03-25,Bangsamoro Region,3.0
2022-01-01,Bangsamoro Region,5.0
2021-12-31,Bangsamoro Region,7.0
2021-12-30,Bangsamoro Region,7.0
2021-09-25,Bangsamoro Region,74.0
2021-09-26,Bangsamoro Region,112.0
2021-09-27,Bangsamoro Region,214.0
2021-09-28,Bangsamoro Region,121.0
2021-09-29,Bangsamoro Region,167.0
2021-09-30,Bangsamoro Region,56.0
2021-10-01,Bangsamoro Region,127.0
2021-10-02,Bangsamoro Region,97.0
2021-10-03,Bangsamoro Region,79.0
2021-10-04,Bangsamoro Region,85.0
2021-10-05,Bangsamoro Region,76.0
2021-10-06,Bangsamoro Region,114.0
2021-10-07,Bangsamoro Region,181.0
2021-10-08,Bangsamoro Region,49.0
2021-10-09,Bangsamoro Region,55.0
2021-10-10,Bangsamoro Region,120.0
2021-10-11,Bangsamoro Region,73.0
2021-10-12,Bangsamoro Region,62.0
2021-10-13,Bangsamoro Region,60.0
2021-10-14,Bangsamoro Region,76.0
2021-10-15,Bangsamoro Region,72.0
2021-10-16,Bangsamoro Region,41.0
2021-10-17,Bangsamoro Region,38.0
2021-10-18,Bangsamoro Region,60.0
2021-10-19,Bangsamoro Region,50.0
2021-10-20,Bangsamoro Region,33.0
2021-10-21,Bangsamoro Region,18.0
2021-10-22,Bangsamoro Region,38.0
2021-10-23,Bangsamoro Region,61.0
2021-09-24,Bangsamoro Region,75.0
2021-09-23,Bangsamoro Region,76.0
2021-09-22,Bangsamoro Region,99.0
2021-09-21,Bangsamoro Region,187.0
2021-08-22,Bangsamoro Region,85.0
2021-08-23,Bangsamoro Region,65.0
2021-08-24,Bangsamoro Region,59.0
2021-08-25,Bangsamoro Region,54.0
2021-08-26,Bangsamoro Region,145.0
2021-08-27,Bangsamoro Region,110.0
2021-08-28,Bangsamoro Region,154.0
2021-08-29,Bangsamoro Region,60.0
2021-08-30,Bangsamoro Region,144.0
2021-08-31,Bangsamoro Region,127.0
2021-09-01,Bangsamoro Region,65.0
2021-09-02,Bangsamoro Region,112.0
2021-09-03,Bangsamoro Region,85.0
2021-09-04,Bangsamoro Region,85.0
2021-10-24,Bangsamoro Region,45.0
2021-09-05,Bangsamoro Region,99.0
2021-09-07,Bangsamoro Region,153.0
2021-09-08,Bangsamoro Region,87.0
2021-09-09,Bangsamoro Region,108.0
2021-09-10,Bangsamoro Region,189.0
2021-09-11,Bangsamoro Region,129.0
2021-09-12,Bangsamoro Region,151.0
2021-09-13,Bangsamoro Region,154.0
2021-09-14,Bangsamoro Region,102.0
2021-09-15,Bangsamoro Region,197.0
2021-09-16,Bangsamoro Region,171.0
2021-09-17,Bangsamoro Region,176.0
2021-09-18,Bangsamoro Region,128.0
2021-09-19,Bangsamoro Region,122.0
2021-09-20,Bangsamoro Region,172.0
2021-09-06,Bangsamoro Region,138.0
2022-05-12,Bangsamoro Region,5.0
2021-10-25,Bangsamoro Region,57.0
2021-10-27,Bangsamoro Region,38.0
2021-12-01,Bangsamoro Region,9.0
2021-12-02,Bangsamoro Region,14.0
2021-12-03,Bangsamoro Region,3.0
2021-12-04,Bangsamoro Region,13.0
2021-12-05,Bangsamoro Region,10.0
2021-12-06,Bangsamoro Region,5.0
2021-12-07,Bangsamoro Region,3.0
2021-12-08,Bangsamoro Region,7.0
2021-12-09,Bangsamoro Region,7.0
2021-12-10,Bangsamoro Region,5.0
2021-12-11,Bangsamoro Region,6.0
2021-12-12,Bangsamoro Region,9.0
2021-12-13,Bangsamoro Region,8.0
2021-12-14,Bangsamoro Region,5.0
2021-12-15,Bangsamoro Region,4.0
2021-12-16,Bangsamoro Region,3.0
2021-12-17,Bangsamoro Region,4.0
2021-12-18,Bangsamoro Region,4.0
2021-12-19,Bangsamoro Region,0.0
2021-12-20,Bangsamoro Region,2.0
2021-12-21,Bangsamoro Region,1.0
2021-12-22,Bangsamoro Region,2.0
2021-12-23,Bangsamoro Region,2.0
2021-12-24,Bangsamoro Region,2.0
