Region,Province,Municipality,Covid-19 cases,Case per population
Cordillera Administrative Region,Abra,Danglas,130,319.1
Cordillera Administrative Region,Abra,Dolores,411,357.0
Cordillera Administrative Region,Abra,Luba,238,365.1
Cordillera Administrative Region,Abra,La Paz,297,180.1
Cordillera Administrative Region,Abra,Bangued ,1196,237.4
Cordillera Administrative Region,Abra,Bucloc,118,492.7
Cordillera Administrative Region,Abra,San Juan,272,254.5
Cordillera Administrative Region,Abra,Peñarrubia,148,212.9
Cordillera Administrative Region,Abra,Tubo,204,359.5
Cordillera Administrative Region,Abra,Sallapadan,396,619.8
Cordillera Administrative Region,Abra,San Isidro,134,282.4
Cordillera Administrative Region,Abra,Pilar,124,122.2
Cordillera Administrative Region,Abra,Manabo,182,156.7
Cordillera Administrative Region,Abra,San Quintin,141,247.2
Cordillera Administrative Region,Abra,Licuan-Baay ,60,131.4
Cordillera Administrative Region,Abra,Tineg,34,68.3
Cordillera Administrative Region,Abra,Malibcong,112,278.1
Cordillera Administrative Region,Abra,Pidigan,319,255.7
Cordillera Administrative Region,Abra,Daguioman,91,450.7
Cordillera Administrative Region,Abra,Bucay,340,189.4
Cordillera Administrative Region,Abra,Villaviciosa,261,459.9
Cordillera Administrative Region,Abra,Tayum,200,134.5
Cordillera Administrative Region,Abra,Boliney,199,437.3
Cordillera Administrative Region,Abra,Lagayan,269,599.4
Cordillera Administrative Region,Abra,Lagangilang,310,207.9
Cordillera Administrative Region,Abra,Langiden,32,89.5
Cordillera Administrative Region,Abra,Lacub,40,110.7
Region XIII,Agusan Del Norte,Buenavista,1533,222.5
Region XIII,Agusan Del Norte,Nasipit,1167,260.4
Region XIII,Agusan Del Norte,Butuan City ,15987,428.7
Region XIII,Agusan Del Norte,Tubay,440,170.6
Region XIII,Agusan Del Norte,City of Cabadbaran,1814,225.8
Region XIII,Agusan Del Norte,Magallanes,297,133.2
Region XIII,Agusan Del Norte,Jabonga,166,66.8
Region XIII,Agusan Del Norte,Santiago,399,139.2
Region XIII,Agusan Del Norte,Las Nieves,468,154.8
Region XIII,Agusan Del Norte,Carmen,462,199.4
Region XIII,Agusan Del Norte,Kitcharao,339,159.3
Region XIII,Agusan Del Norte,Remedios T. Romualdez,360,209.9
Region XIII,Agusan Del Sur,San Luis,716,203.4
Region XIII,Agusan Del Sur,Esperanza,1292,217.7
Region XIII,Agusan Del Sur,Talacogon,798,201.1
Region XIII,Agusan Del Sur,Veruela,829,208.8
Region XIII,Agusan Del Sur,City of Bayugan,2593,236.8
Region XIII,Agusan Del Sur,Trento,1063,195.1
Region XIII,Agusan Del Sur,San Francisco,3186,394.5
Region XIII,Agusan Del Sur,Prosperidad ,2699,305.6
Region XIII,Agusan Del Sur,La Paz,225,72.7
Region XIII,Agusan Del Sur,Rosario,1375,277.2
Region XIII,Agusan Del Sur,Sibagat,447,131.6
Region XIII,Agusan Del Sur,Santa Josefa,813,307.6
Region XIII,Agusan Del Sur,Loreto,589,134.2
Region XIII,Agusan Del Sur,Bunawan,1051,221.2
Region VI,Aklan,Tangalan,645,272.1
Region VI,Aklan,Malinao,662,270.0
Region VI,Aklan,Madalag,357,189.0
Region VI,Aklan,Lezo,461,294.8
Region VI,Aklan,Ibajay,1328,253.6
Region VI,Aklan,Banga,1394,345.8
Region VI,Aklan,New Washington,1072,223.5
Region VI,Aklan,Malay,2107,350.7
Region VI,Aklan,Batan,633,189.0
Region VI,Aklan,Libacao,252,89.1
Region VI,Aklan,Nabas,837,206.0
Region VI,Aklan,Balete,364,121.0
Region VI,Aklan,Buruanga,216,111.6
Region VI,Aklan,Makato,896,301.5
Region VI,Aklan,Kalibo ,4118,462.0
Region VI,Aklan,Numancia,1394,390.6
Region VI,Aklan,Altavas,425,165.8
Region V,Albay,Malilipot,290,71.0
Region V,Albay,City of Tabaco,1096,77.8
Region V,Albay,Libon,335,44.6
Region V,Albay,Tiwi,484,85.7
Region V,Albay,Bacacay,436,60.2
Region V,Albay,Pio Duran,260,53.0
Region V,Albay,Oas,321,48.6
Region V,Albay,Guinobatan,1009,117.6
Region V,Albay,Camalig,759,105.4
Region V,Albay,Jovellar,41,23.0
Region V,Albay,Legazpi City ,4667,222.7
Region V,Albay,Manito,279,106.6
Region V,Albay,Malinao,294,62.0
Region V,Albay,Daraga ,2312,172.7
Region V,Albay,Polangui,599,67.2
Region V,Albay,City of Ligao,1052,89.1
Region V,Albay,Santo Domingo ,460,121.8
Region V,Albay,Rapu-Rapu,124,34.3
Region VI,Antique,Caluya,161,41.4
Region VI,Antique,Tibiao,580,202.1
Region VI,Antique,Laua-An,257,96.7
Region VI,Antique,Belison,496,351.1
Region VI,Antique,Sebaste,89,47.3
Region VI,Antique,Hamtic,952,180.7
Region VI,Antique,Patnongon,300,78.3
Region VI,Antique,Sibalom,1111,174.0
Region VI,Antique,San Remigio,622,182.7
Region VI,Antique,San Jose ,2647,406.4
Region VI,Antique,Barbaza,189,80.9
Region VI,Antique,Pandan,376,104.5
Region VI,Antique,Culasi,682,153.3
Region VI,Antique,Anini-Y,321,145.8
Region VI,Antique,Valderrama,494,247.4
Region VI,Antique,Bugasong,734,211.7
Region VI,Antique,Libertad,134,76.5
Region VI,Antique,Tobias Fornier ,372,110.0
Cordillera Administrative Region,Apayao,Luna,2358,1107.2
Cordillera Administrative Region,Apayao,Flora,1279,712.8
Cordillera Administrative Region,Apayao,Pudtol,1500,968.3
Cordillera Administrative Region,Apayao,Kabugao ,672,414.4
Cordillera Administrative Region,Apayao,Calanasan ,793,631.9
Cordillera Administrative Region,Apayao,Santa Marcela,1662,1248.0
Cordillera Administrative Region,Apayao,Conner,1281,464.9
Region III,Aurora,San Luis,507,170.0
Region III,Aurora,Dingalan,471,169.0
Region III,Aurora,Dipaculao,511,154.2
Region III,Aurora,Baler ,1176,268.6
Region III,Aurora,Maria Aurora,896,199.3
Region III,Aurora,Dinalungan,236,188.7
Region III,Aurora,Dilasag,160,93.6
Region III,Aurora,Casiguran,474,178.4
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Hadji Muhtamad,5,1.9
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Tipo-Tipo,180,70.5
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Maluso,177,38.7
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Sumisip,104,22.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Lantawan,67,21.6
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,City of Lamitan ,1182,118.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Akbar,32,13.9
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Al-Barka,26,11.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Tabuan-Lasa,5,1.7
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Ungkaya Pukan,34,14.2
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Tuburan,28,11.3
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Hadji Mohammad Ajul,27,11.0
Region III,Bataan,Hermosa,2229,287.8
Region III,Bataan,City of Balanga ,9106,874.1
Region III,Bataan,Samal,2066,539.4
Region III,Bataan,Orion,2469,406.3
Region III,Bataan,Bagac,1181,376.5
Region III,Bataan,Dinalupihan,5969,505.0
Region III,Bataan,Morong,1687,476.6
Region III,Bataan,Abucay,2427,564.6
Region III,Bataan,Orani,2599,369.5
Region III,Bataan,Mariveles,8821,588.5
Region III,Bataan,Limay,4093,522.9
Region III,Bataan,Pilar,1868,404.0
Region II,Batanes,Uyugan,40,289.9
Region II,Batanes,Ivana,57,405.1
Region II,Batanes,Basco ,242,254.3
Region II,Batanes,Itbayat,23,73.5
Region II,Batanes,Sabtang,13,76.7
Region II,Batanes,Mahatao,26,152.7
Region IV-A,Batangas,Mabini,1415,278.2
Region IV-A,Batangas,Agoncillo,640,163.7
Region IV-A,Batangas,Batangas City ,19205,546.5
Region IV-A,Batangas,Mataasnakahoy,1482,484.0
Region IV-A,Batangas,City of Tanauan,7693,396.7
Region IV-A,Batangas,Calatagan,1196,203.7
Region IV-A,Batangas,San Pascual,3291,476.9
