Regions,Region name,Covid-19 cases,Case per population
Bangsamoro Autonomous Region in Muslim Mindanao,BARMM,27488,624.1
Cordillera Administrative Region,CAR,127074,7068.9
National Capital Region,NCR,1288026,10002.3
Region I,Ilocos Region,143630,2857.7
Region II,Cagayan Valley,171107,4642.4
Region III,Central Luzon,394854,3178.6
Region IV-A,Calabarzon,716741,4425.7
Region IV-B,Mimaropa,47357,1466.8
Region IX,Zamboanga Peninsula,69546,1794.5
Region V,Bicol Region,71735,1179.4
Region VI,Western Visayas,212638,2821.5
Region VII,Central Visayas,205389,2541.3
Region VIII,Eastern Visayas,66882,1470.9
Region X,Northern Mindanao,111610,2222.1
Region XI,Davao Region,151754,2894.1
Region XII,Soccsksargen,82441,1682.0
Region XIII,Caraga,65508,2335.6
