Regions,Region name,Covid-19 cases,Case per population
Bangsamoro Autonomous Region in Muslim Mindanao,BARMM,28170,639.6
Cordillera Administrative Region,CAR,129925,7227.5
National Capital Region,NCR,1311058,10181.2
Region I,Ilocos Region,146800,2920.7
Region II,Cagayan Valley,174834,4743.5
Region III,Central Luzon,400843,3226.8
Region IV-A,Calabarzon,727823,4494.1
Region IV-B,Mimaropa,47951,1485.2
Region IX,Zamboanga Peninsula,70770,1826.1
Region V,Bicol Region,73160,1202.9
Region VI,Western Visayas,217843,2890.6
Region VII,Central Visayas,209419,2591.2
Region VIII,Eastern Visayas,67717,1489.2
Region X,Northern Mindanao,113695,2263.6
Region XI,Davao Region,154374,2944.1
Region XII,Soccsksargen,84036,1714.5
Region XIII,Caraga,66535,2372.2
